我租了一个厂房当工作室 http://t.cn/A6t0QdEk ​​​,Fri Mar 05 19:21:23 +0800 2021,11124,1130,250
#对话最高检#大家都说我是“发明界的泥石流”，其实我做的那些“无用之物”，就是想和大家分享我的创意，让大家看到原创的力量。嗨，检察机关在保护知识产权方面有什么金点子吗？@最高人民检察院 ​​​,Sat Feb 27 19:16:28 +0800 2021,2953,179,110
改了一个多把水杯 http://t.cn/A6tzbDQ7 ​​​,Wed Feb 10 17:54:32 +0800 2021,10516,1280,404
千万不要欺骗孩子啊............................................................. ​​​,Fri Feb 05 11:25:06 +0800 2021,73705,5528,30095
自制解闷儿减压的箱子#手工耿的手工# http://t.cn/A65HkNku ​​​,Wed Feb 03 18:00:05 +0800 2021,12609,1541,790
自制可玩啤酒小游戏的分酒碰杯器#硬核犇新年# http://t.cn/A6qsucLX ​​​,Tue Jan 12 18:00:06 +0800 2021,14146,1767,522
自制可体验飞行感觉的翅膀  http://t.cn/A6qdkpEt ​​​,Fri Jan 08 18:05:10 +0800 2021,59403,5715,9307
自制八爪大锤雪球夹 http://t.cn/A6q8Rf96 ​​​,Thu Dec 31 20:00:06 +0800 2020,16202,1320,768
欢迎来我的家乡定兴投资创业  http://t.cn/A6qNg6xJ ​​​,Thu Dec 24 17:37:59 +0800 2020,6473,709,192
自制锥刺股学习辅助椅#手工耿的手工# #职业技术哪家强#  http://t.cn/A6qSlfCn ​​​,Mon Dec 21 17:59:05 +0800 2020,27453,3245,2302
#职业技术哪家强#  激荡青春梦想，点亮技能之光，我是技能助力官手工耿，快来和我一起参与活动上才艺吧！http://t.cn/A6qyy9Wt ​ ​​​,Wed Dec 16 18:55:53 +0800 2020,1468,164,20
自制宅男快乐器，吃喝玩乐游戏机#手工耿的手工# #年终快乐大赏# http://t.cn/A6qURDZ7 ​​​,Fri Dec 11 12:05:01 +0800 2020,51134,5429,7578
自制懒人喂狗大缸，装一次狗粮三四个月不用喂狗 http://t.cn/A6GuvrIr ​​​,Wed Nov 25 20:03:42 +0800 2020,24186,3562,1393
自制玉米脱粒玩耍机 http://t.cn/A6GpwI0T ​​​,Mon Nov 16 17:57:33 +0800 2020,95019,5741,8500
千万不要随便吃冰激凌...................................................................... ​​​,Mon Nov 09 18:10:06 +0800 2020,53572,2641,16101
自制快速双向手锯 http://t.cn/A6GxXJIa ​​​,Mon Nov 09 18:12:02 +0800 2020,36188,4079,3445
自己改造了一把电动牙刷，劲大好使 http://t.cn/A6GLe2pA ​​​,Mon Nov 02 18:13:08 +0800 2020,17423,1882,744
"@手工耿 神器都打包好了吗？今年万圣夜，一起玩点不一样的！10月31日京东嘿市万圣夜派对，耿哥欢乐谷现场直播，相约搞大事！[太开心] #京东嘿市 不卖寻常货# 快上惊喜直通车→http://t.cn/A6bdsLsQ
转发+关注，揪5位小可爱送欢乐谷年票！@微博抽奖平台 ​​​",Fri Oct 30 15:47:05 +0800 2020,617,214,3709
#超级红人节# 很高兴今年获得了“微博2020十大影响力人气大V”奖项！感谢大家对我的支持和喜爱，你们太帅啦，以后我会继续努力创作更多优秀的作品回馈大家！ http://t.cn/A6GvxPGN ​​​,Thu Oct 29 11:00:21 +0800 2020,2314,196,1042
#超级红人节#很高兴获得了微博2020年度百大视频号的奖项，感谢各位对我的支持，你们也是我继续创作视频的灵感来源和动力，相对你们说的话都在视频里了，大家快看看 http://t.cn/A6bDLXrG ​​​,Tue Oct 27 11:00:07 +0800 2020,2660,238,1170
收到了官方大大发来的快递。一个是奖杯，另一个也是奖杯[嘻嘻]。百大视频号奖和十大影响力人气大V奖，超开心。[嘻嘻]感谢大家帮我投的票。#超级红人节##超红惊喜快递# ​​​,Fri Oct 23 10:39:38 +0800 2020,6811,459,46
自制冷热空调扇 http://t.cn/A6bmGk9k ​​​,Thu Oct 22 20:06:55 +0800 2020,11720,1449,675
吐槽一下我呢奖杯 ​​​,Sun Oct 18 22:27:14 +0800 2020,11274,1012,383
帮大家总结了一下昨晚苹果发布会的主要内容................................#苹果发布会# ​​​​,Wed Oct 14 11:27:33 +0800 2020,98196,7022,20014
自制便便称重马桶 http://t.cn/A6bMrhDQ ​​​,Fri Oct 09 17:39:04 +0800 2020,48193,7660,4313
做了给一位说唱届的朋友做了一个迫击炮的话筒 http://t.cn/A6bAuSQO ​​​,Thu Oct 01 11:37:24 +0800 2020,18938,1359,923
